,season,school_url,school_name,games_played,win_pct,ncaa_tournament,pace,eff_fg_pct,srs_off,srs_def,sos,team_ppg,opp_ppg,off_rating,def_rating,rank
1763,2016,https://www.sports-reference.com//cbb/schools/boise-state/2016.html,Boise State,32,0.625,0,70.5,0.523,5.15,2.08,3.13,77.5,70.2,109.45,98.02,
1764,2016,https://www.sports-reference.com//cbb/schools/boston-college/2016.html,Boston College,32,0.219,0,67.0,0.475,-6.91,5.3,7.67,61.2,70.5,95.62,97.34,
1765,2016,https://www.sports-reference.com//cbb/schools/boston-university/2016.html,Boston University,34,0.559,0,69.4,0.526,-1.55,-5.24,-6.37,73.0,72.5,99.08,107.13,
1766,2016,https://www.sports-reference.com//cbb/schools/bowling-green-state/2016.html,Bowling Green State,34,0.471,0,69.4,0.497,-4.4,-1.48,-1.85,70.6,72.3,97.81,104.46,
1767,2016,https://www.sports-reference.com//cbb/schools/bradley/2016.html,Bradley,32,0.156,0,67.3,0.431,-12.86,1.95,3.7,56.0,69.9,86.83,101.75,
1768,2016,https://www.sports-reference.com//cbb/schools/brigham-young/2016.html,Brigham Young,37,0.703,0,74.0,0.532,12.03,0.32,2.36,83.6,72.8,111.91,93.95,
1769,2016,https://www.sports-reference.com//cbb/schools/brown/2016.html,Brown,28,0.286,0,70.5,0.498,0.47,-8.52,-2.82,72.9,77.0,99.90,109.50,
1770,2016,https://www.sports-reference.com//cbb/schools/bryant/2016.html,Bryant,31,0.258,0,68.4,0.475,-10.67,-7.91,-6.71,65.1,76.2,89.86,114.99,
1771,2016,https://www.sports-reference.com//cbb/schools/bucknell/2016.html,Bucknell,31,0.548,0,71.5,0.53,3.63,-5.71,-5.89,79.0,73.8,102.56,104.56,
1772,2016,https://www.sports-reference.com//cbb/schools/buffalo/2016.html,Buffalo,35,0.571,1,72.6,0.499,4.5,-3.16,0.9,77.4,75.3,103.43,100.06,
1773,2016,https://www.sports-reference.com//cbb/schools/butler/2016.html,Butler,33,0.667,1,69.8,0.526,11.28,5.18,7.55,79.9,71.0,117.84,94.72,
1774,2016,https://www.sports-reference.com//cbb/schools/cal-poly/2016.html,Cal Poly,30,0.333,0,67.8,0.482,0.2,-3.69,0.9,72.4,75.2,105.12,109.08,
1775,2016,https://www.sports-reference.com//cbb/schools/cal-state-bakersfield/2016.html,Cal State Bakersfield,33,0.727,1,68.4,0.497,-2.09,4.67,-5.15,72.9,63.8,101.53,95.96,
1776,2016,https://www.sports-reference.com//cbb/schools/cal-state-fullerton/2016.html,Cal State Fullerton,30,0.333,0,70.0,0.467,-3.1,-4.02,-0.76,70.1,74.2,99.16,107.99,
1777,2016,https://www.sports-reference.com//cbb/schools/cal-state-northridge/2016.html,Cal State Northridge,30,0.333,0,71.4,0.469,-1.09,-5.76,-0.85,71.4,75.4,97.39,105.38,
1778,2016,https://www.sports-reference.com//cbb/schools/california-davis/2016.html,UC-Davis,30,0.367,0,67.1,0.484,-8.96,3.38,-1.26,63.8,66.0,92.43,99.24,
1779,2016,https://www.sports-reference.com//cbb/schools/california-irvine/2016.html,UC-Irvine,38,0.737,0,67.6,0.516,-0.54,5.86,0.77,71.2,66.1,103.99,95.11,
1780,2016,https://www.sports-reference.com//cbb/schools/california-riverside/2016.html,UC-Riverside,33,0.424,0,68.7,0.497,-6.08,0.42,-3.08,69.7,69.7,97.75,104.21,
1781,2016,https://www.sports-reference.com//cbb/schools/california-santa-barbara/2016.html,UC-Santa Barbara,33,0.576,0,68.3,0.506,-1.42,5.2,1.44,70.8,67.2,103.76,96.80,
1782,2016,https://www.sports-reference.com//cbb/schools/california/2016.html,University of California,34,0.676,1,68.2,0.522,6.56,8.84,7.87,74.9,67.3,112.14,89.00,
1783,2016,https://www.sports-reference.com//cbb/schools/campbell/2016.html,Campbell,30,0.4,0,70.0,0.512,-4.53,-6.55,-6.67,73.6,73.4,97.64,112.01,
1784,2016,https://www.sports-reference.com//cbb/schools/canisius/2016.html,Canisius,33,0.424,0,68.9,0.49,2.46,-8.08,-3.77,76.5,78.4,105.14,112.00,
1785,2016,https://www.sports-reference.com//cbb/schools/central-arkansas/2016.html,Central Arkansas,28,0.25,0,73.7,0.499,-1.23,-13.93,-6.81,75.4,83.7,96.77,115.72,
1786,2016,https://www.sports-reference.com//cbb/schools/central-connecticut-state/2016.html,Central Connecticut State,29,0.138,0,68.9,0.448,-11.39,-10.96,-9.24,65.1,78.2,87.28,117.37,
1787,2016,https://www.sports-reference.com//cbb/schools/central-florida/2016.html,Central Florida,30,0.4,0,68.3,0.492,-1.53,1.71,3.01,68.7,71.6,101.27,99.79,
1788,2016,https://www.sports-reference.com//cbb/schools/central-michigan/2016.html,Central Michigan,33,0.515,0,67.4,0.524,1.52,-2.19,-1.3,75.6,72.8,108.36,107.48,
1789,2016,https://www.sports-reference.com//cbb/schools/charleston-southern/2016.html,Charleston Southern,30,0.3,0,70.0,0.506,-4.55,-6.37,-2.59,71.5,75.1,96.47,110.73,
1790,2016,https://www.sports-reference.com//cbb/schools/charlotte/2016.html,Charlotte,33,0.424,0,72.1,0.51,3.24,-6.38,-1.72,78.3,79.7,103.70,106.57,
1791,2016,https://www.sports-reference.com//cbb/schools/chattanooga/2016.html,Chattanooga,35,0.829,1,68.1,0.524,-0.54,3.78,-3.46,75.8,67.5,105.51,99.23,
